# onet_version=30.3  (O*NET Related Occupations + Occupation Data; public domain / CC-BY 4.0; regenerate with scripts/build_taxonomy_extra.py)
# format: soc_code<TAB>related_soc<TAB>tier<TAB>related_title
11-3031.00	43-3071.00	Supplemental	Tellers
11-3031.01	13-2011.00	Primary-Short	Accountants and Auditors
11-3031.01	13-2061.00	Primary-Short	Financial Examiners
11-3031.01	11-1011.00	Primary-Short	Chief Executives
11-3031.01	11-3031.00	Primary-Short	Financial Managers
11-3031.01	13-2031.00	Primary-Short	Budget Analysts
11-3031.01	13-2052.00	Primary-Long	Personal Financial Advisors
11-3031.01	11-3031.03	Primary-Long	Investment Fund Managers
11-3031.01	13-1111.00	Primary-Long	Management Analysts
11-3031.01	11-1021.00	Primary-Long	General and Operations Managers
11-3031.01	13-2051.00	Primary-Long	Financial and Investment Analysts
11-3031.01	43-1011.00	Supplemental	First-Line Supervisors of Office and Administrative Support Workers
11-3031.01	11-3012.00	Supplemental	Administrative Services Managers
11-3031.01	43-3031.00	Supplemental	Bookkeeping, Accounting, and Auditing Clerks
11-3031.01	41-1012.00	Supplemental	First-Line Supervisors of Non-Retail Sales Workers
11-3031.01	13-2041.00	Supplemental	Credit Analysts
11-3031.01	43-3051.00	Supplemental	Payroll and Timekeeping Clerks
11-3031.01	43-6011.00	Supplemental	Executive Secretaries and Executive Administrative Assistants
11-3031.01	13-1141.00	Supplemental	Compensation, Benefits, and Job Analysis Specialists
11-3031.01	13-1082.00	Supplemental	Project Management Specialists
11-3031.01	11-3111.00	Supplemental	Compensation and Benefits Managers
11-3031.03	13-2051.00	Primary-Short	Financial and Investment Analysts
11-3031.03	13-2054.00	Primary-Short	Financial Risk Specialists
11-3031.03	13-2052.00	Primary-Short	Personal Financial Advisors
11-3031.03	41-3031.00	Primary-Short	Securities, Commodities, and Financial Services Sales Agents
11-3031.03	13-2099.01	Primary-Short	Financial Quantitative Analysts
11-3031.03	11-3031.00	Primary-Long	Financial Managers
11-3031.03	13-2041.00	Primary-Long	Credit Analysts
11-3031.03	13-2061.00	Primary-Long	Financial Examiners
11-3031.03	11-3031.01	Primary-Long	Treasurers and Controllers
11-3031.03	13-1111.00	Primary-Long	Management Analysts
11-3031.03	13-2011.00	Supplemental	Accountants and Auditors
11-3031.03	19-3011.00	Supplemental	Economists
11-3031.03	13-2072.00	Supplemental	Loan Officers
11-3031.03	15-2011.00	Supplemental	Actuaries
11-3031.03	13-2031.00	Supplemental	Budget Analysts
11-3031.03	43-4011.00	Supplemental	Brokerage Clerks
11-3031.03	13-1161.00	Supplemental	Market Research Analysts and Marketing Specialists
11-3031.03	13-1141.00	Supplemental	Compensation, Benefits, and Job Analysis Specialists
11-3031.03	11-1011.00	Supplemental	Chief Executives
11-3031.03	15-2051.01	Supplemental	Business Intelligence Analysts
11-3051.00	11-1021.00	Primary-Short	General and Operations Managers
11-3051.00	11-3051.01	Primary-Short	Quality Control Systems Managers
11-3051.00	11-3051.04	Primary-Short	Biomass Power Plant Managers
11-3051.00	11-3051.03	Primary-Short	Biofuels Production Managers
11-3051.00	11-3071.04	Primary-Short	Supply Chain Managers
11-3051.00	11-3071.00	Primary-Long	Transportation, Storage, and Distribution Managers
11-3051.00	11-3051.02	Primary-Long	Geothermal Production Managers
11-3051.00	11-9021.00	Primary-Long	Construction Managers
11-3051.00	13-1082.00	Primary-Long	Project Management Specialists
11-3051.00	11-3051.06	Primary-Long	Hydroelectric Production Managers
11-3051.00	17-2112.00	Supplemental	Industrial Engineers
11-3051.00	17-2112.03	Supplemental	Manufacturing Engineers
